"R$37,43 em 27/05/2017.",Product,,
MACIO AUGUSTO! Fiz uma compra 31 de março de 2017 e ainda não recebei o pedido. Não compro nunca mas. Pedido nº 9294068 PagoLoja 31/03/2017,,Store,
Comprei e não recebi ! Não recomendo !!!!,,Store,
Ótimo custo benefício!,Product,,
Relação custo/benefício ótima.Muito saboroso.,Product,,
Amo vinhos leves! Este Rosé é agradável e muito gostoso! Super recomendo....,Product,,
"Muito bom, doce e suave",Product,,
"Muito bom!!! Suave, leve, graduação baixa, ótimo para dias quentes, na minha adega não pode faltar, pena que não fazem uma Winebox deste frisante adoraria poder comprar mais quantidades com melhor preço!",,Store,?
"Muito bom este frisante,não é muito doce e tem baixo teor alcoólico. É ótimo para petiscos, refrescante, leve. Fácil de beber. Vale a pena ter um guardado na adega.",Product,,
"Delicioso, suave, doce, refrescante, linda coloração, do jeito que eu gosto. Não vai faltar aqui em casa.",,,
"Bão demais sô!! Vinho suave, bom para receber a turma, facil de beber, todos gostaram. Vale a pena demais ter um desse casa!! Dr. Wine, você mandou bem nessa. Valeu brother, tamo junto!",,,?
"Não é ruim, porém, é extremamente doce! definitivamente para o meu paladar não dá.",Product,,
"Comprei há 1 mês e não recebi. o Clube deixa muito a desejar no quesito ""compromisso com o cliente"". Por não ter recebido, não tenho como avaliar o vinho.",,Store,
"Excelente custo-benefício. Toque amadeirado, porém de fácil degustação. Compraria novamente.",Product,,
Recebi essa garrafa como brinde em fevereiro e a degustei ontem. O vinho estava fantástico com muita fruta e corpo médio. Ameixa madura se sobressai no final. Deixou um gostinho de quero mais!,Product,,
Bola fora do sommelier da Wine.,,Store,
"Recebi esse vinho na promoção de fevereiro de 2017. Conhecia esse vinho há alguns anos desde a época que ele figurou como um dos indicados do clube Wine. Sempre achei um bom vinho, mas dessa vez que decepção. O vinho veio completamente passado. É sábido que vinhos em meia garrafa envelhecem mais rapidamente. Acredito que a garrafa de 750 ml ainda esteja ótima, mas essas de 375 ml não tem o potencial de guarda descrita no site. ",Product,,
"Gostei muito do vinho, irei comprar novamente em breve.",Product,,
"No nariz entrega um pouco de grama cortada. Na boca um pouco mineral. No conjunto um pouco de corpo, um pouco de acidez, um pouco tânico, um pouco de álcool. Enfim, é um vinho um pouco agradável, e pouco recomendável. Considerando o preço foi uma bola fora da wine.com no clube premium de maio/16. Desagradou na maioria das críticas no app do Vivino. 86/100",,,?
"Bom vinho. Equilibrado, saboroso, frutado, com corpo leve e final agradável.",Product,,
"Lindo no copo . No inicio, discreto no nariz e apos algum tempo totalmente apagado. Na boca mediano",Product,,
Minha opinião sobre este vinho é exatamente a mesma do Carlos Alberto aqui abaixo...,Product,,
"Decepcionado com esse vinho. Não é ruim, somente esperava mais. Tem uma cor bonita, Rubi, Límpido, média intensidade. Aromas pobres, algumas especiarias. Boa mineralidade que confere refrescancia. Baixa persistencia",Product,,
ainda nao havia experimentado vinhos Gamay apesar de nao terem entrado na minha lista de preferencias foi um otima experiencia proporcionada pelo CW Premium,Product,,?
"Depois de várias ""seleções"" bem duvidosas (para ser cortês), um bom vinho. Macio, encorpado. Elegante. (O Protos Vendimia Seleccionada 2013 também é bom, apesar de estar muito novo). Nota: 17/20 (sou rigoroso), o que é uma nota bem boa! Pronto para beber, minha opinião é que não deve ser guardado por muito tempo.",Product,,
Gostei muito. Comprarei novamente!,Product,,
excelente custo beneficio..... achei pouco aromatico no inicio....mais o sabor com 20 minutos de decanter.... ficou muito bom....taninos e acidez equilibrados..... pena que gostaria de comprar mais... porém o preço está em 140 reais.... ai ficou longe da possibilidade...... se puderem voltar ao valor do club advanced.....do qual pertenço.... me avisem....,,Store,
"Vinho mais encorpado, potente, com taninos bem marcantes. Muito bom, surpreendeu. Cobraram por ele R$74 no clube advanced de junho.",Product,,?
"Não agradou, nem mesmo parece um típico malbec de Mendoza. Mesmo aerando, o álcool sobressai, carvalho e taninos totalmente fora de sintonia. Não recomendo!!!",Product,,
"Não foi consumido, visto que demonstrava defeito, não estava em condições de consumo, estava avinagrado, sem qualquer demonstração de tanicidade e acidez e corpo, estava aguado, mantive o líquido em sua garrafa e com a rolha original. Odor vinagre (ácido acético) e mercaptano. Em boca sem tanicidade, acidez e álcool, com um sabor muito amargo que era impossível degluti-lo.",Product,,
Muito bom,Product,,
"Comprado a R$ 21,93",Product,,?
"frutado e despretensioso, vinho ligeiro pra abrir e tomar no mesmo dia, vai bem com frango tbm ou sozinho mesmo com queijos leves, a sensação na primeira hora é de segurar uma caixa de morangos na mão depois esse aroma vai dando lugar a um aroma refrescante, sabor leve e refrescantes com final rapido e corpo leve, valeu apena pagar 35 na promoção por ele",Product,,
"Vinho com excelente volume em boca, ""carnudo"", com bom final e taninos redondos. Excelente!",Product,,
"vinho que custa 7 euros em madrid. falta de respeito com quem assina o clube a wine mandar um vinho de 7 euros. ja pausei mes passado, esse vai vir. se o proximo a wine aprontar outra dessa eu caio fora.",,Store,
eu achei bem gostoso !!! otimo pra quem gostas de poucas doses,Product,,
Pior vinho que já comprei na wine. Parece um suco de uva doce. Não consegui tomar meia garrafa e joguei fora. Lembrou-me o vinho Sangue de Boi.,Product,,
"ÓTIMO vinho custo beneficio , comprei 16 unidades variadas na mesma faixa de preço , este que mais gostei , super indico .",Product,,
"Definitivamente gosto para vinho é algo muito particular. Um dos vinhos da Wine que mais gostei, fácil de beber e saborear, aroma frutado com paladar leve. Fiquei impressionada com alguns comentários ruins. Minha dica é prestar atenção nas características dos vinhos que experimentou e agradou e lembrar delas na próxima compra.",Product,,
"Não se engane pela rolha, que não existe, mas é um valor justo por este Merlot.",Product,,
